m,x,b,y
32,-4,-61,-189
39,-30,31,-1139
55,-72,42,-3918
-8,21,-98,-266
56,77,-28,4284
-39,-99,-60,3801
0,-83,-85,-85
-24,-54,-12,1284
36,90,-73,3167
-47,-65,98,3153
94,94,-95,8741
-75,87,-10,-6535
82,-88,67,-7149
-78,71,37,-5501
43,-26,90,-1028
-43,42,73,-1733
-88,-54,26,4778
-42,49,-26,-2084
3,-36,44,-64
31,64,13,1997
6,-78,-37,-505
-25,100,51,-2449
-17,98,9,-1657
-43,-30,-15,1275
-19,-69,-3,1308
-52,42,86,-2098
-7,-94,-14,644
1,40,-54,-14
-82,-94,-8,7700
-86,-34,68,2992
-37,16,34,-558
-71,-76,73,5469
-58,-38,-21,2183
86,-49,-74,-4288
68,46,-59,3069
-71,76,53,-5343
-51,51,-65,-2666
49,-30,80,-1390
23,74,-44,1658
-91,92,24,-8348
39,82,-66,3132
36,-16,3,-573
33,66,86,2264
-7,-2,-60,-46
81,-2,-27,-189
-38,-36,21,1389
78,37,-14,2872
84,-70,-71,-5951
52,-53,-24,-2780
-5,-26,-3,127
65,-30,55,-1895
-24,-24,67,643
67,-69,17,-4606
42,16,-87,585
-35,95,28,-3297
77,61,94,4791
-46,-90,-55,4085
4,0,8,8
38,-76,6,-2882
86,-68,73,-5775
1,-4,-48,-52
7,30,24,234
11,-70,14,-756
34,-21,-2,-716
-77,-60,8,4628
-53,87,-95,-4706
-92,96,21,-8811
67,-78,-31,-5257
-68,40,22,-2698
-22,55,-68,-1278
-27,-40,18,1098
-94,21,75,-1899
36,-73,65,-2563
-90,87,-82,-7912
-58,-37,-22,2124
-67,-10,92,762
-78,27,75,-2031
-3,73,-28,-247
16,-100,49,-1551
22,91,27,2029
32,25,-68,732
11,-85,-42,-977
-53,-38,76,2090
-8,30,45,-195
-79,-53,51,4238
9,-62,100,-458
25,-9,53,-172
-38,-21,-24,774
-32,-43,91,1467
-10,-5,-9,41
-48,37,-94,-1870
21,-55,100,-1055
73,5,97,462
65,94,13,6123
36,-88,-60,-3228
21,23,40,523
-59,-65,-17,3818
56,-7,-31,-423
74,-42,50,-3058
66,35,-86,2224
-59,17,-96,-1099
78,-69,-60,-5442
-22,100,32,-2168
32,17,46,590
80,86,96,6976
-66,71,-42,-4728
22,64,51,1459
-68,93,-85,-6409
65,-96,-88,-6328
72,13,55,991
72,51,-66,3606
-31,-82,-9,2533
-75,-32,-44,2356
55,-83,88,-4477
80,-48,-79,-3919
86,64,18,5522
73,73,45,5374
-72,41,16,-2936
28,-30,-22,-862
-46,42,95,-1837
92,13,-54,1142
-22,-86,-26,1866
-87,-42,54,3708
76,62,94,4806
68,-31,-85,-2193
23,40,67,987
54,-19,14,-1012
61,1,-66,-5
-13,86,-35,-1153
41,-98,94,-3924
3,5,-63,-48
-59,-55,-77,3168
88,6,-18,510
35,-50,-26,-1776
-14,56,-4,-788
-95,6,-9,-579
74,63,39,4701
-28,13,35,-329
-41,89,-57,-3706
33,-35,19,-1136
22,-26,-90,-662
-18,1,25,7
-71,-82,96,5918
91,84,-38,7606
-48,-76,3,3651
-37,-59,-98,2085
33,-41,-68,-1421
-78,89,-86,-7028
75,55,94,4219
67,92,-70,6094
74,13,25,987
46,1,-57,-11
15,50,4,754
30,-82,61,-2399
61,11,-54,617
89,81,97,7306
-95,22,-77,-2167
-47,-83,22,3923
-37,12,29,-415
-58,27,19,-1547
88,2,-65,111
59,21,-67,1172
-58,100,53,-5747
7,-72,-24,-528
96,-99,69,-9435
14,61,-61,793
12,-72,-93,-957
-63,-29,-37,1790
25,88,-47,2153
37,-41,15,-1502
16,44,-8,696
-45,29,70,-1235
-14,40,45,-515
92,4,-81,287
-57,6,-59,-401
23,69,99,1686
-12,66,-42,-834
-37,-53,-95,1866
-60,75,-14,-4514
37,-75,9,-2766
-57,-28,-9,1587
-10,19,22,-168
58,-10,78,-502
79,29,12,2303
71,-35,46,-2439
1,-94,-37,-131
-48,97,72,-4584
40,82,51,3331
36,-84,-25,-3049
20,48,-20,940
31,-36,-37,-1153
-81,-10,-59,751
-55,13,7,-708
-44,1,-33,-77
-2,88,20,-156
-18,79,-24,-1446
-8,99,11,-781
32,-39,-16,-1264
74,90,-30,6630
55,-25,-67,-1442
96,19,63,1887
30,87,24,2634
84,30,8,2528
-79,73,-88,-5855
58,0,96,96
53,-68,89,-3515
35,-45,-14,-1589
-46,-83,-100,3718
79,-28,40,-2172
-45,-2,-5,85
18,43,-69,705
88,35,60,3140
-63,71,99,-4374
44,47,12,2080
49,-37,-3,-1816
-73,-21,-97,1436
50,75,6,3756
89,56,74,5058
98,54,-77,5215
39,67,55,2668
90,-92,94,-8186
-38,49,-53,-1915
-52,-83,89,4405
-22,8,4,-172
7,90,43,673
17,-45,-9,-774
-75,-92,2,6902
72,-100,77,-7123
38,33,-72,1182
82,7,-46,528
6,7,54,96
-44,30,52,-1268
33,98,76,3310
72,98,26,7082
-40,35,65,-1335
41,-99,-29,-4088
57,-6,37,-305
-36,-55,16,1996
85,-76,8,-6452
-34,-13,92,534
-27,-35,40,985
-96,-78,22,7510
-74,79,62,-5784
29,-39,-67,-1198
37,24,-27,861
11,-57,98,-529
0,-95,-64,-64
-83,39,-84,-3321
-24,48,-34,-1186
65,-69,-60,-4545
23,-61,18,-1385
-51,53,-38,-2741
23,44,-71,941
9,-41,-22,-391
-13,7,-70,-161
99,-88,-90,-8802
76,-32,44,-2388
63,-6,67,-311
-55,22,-10,-1220
91,28,-14,2534
-84,28,30,-2322
79,-50,36,-3914
-89,-66,-81,5793
-99,-100,80,9980
20,-55,-96,-1196
-88,58,-77,-5181
52,80,89,4249
94,-46,-52,-4376
0,79,55,55
53,-2,91,-15
80,83,-16,6624
-24,5,-85,-205
83,-74,84,-6058
38,45,32,1742
-8,90,-94,-814
94,67,-41,6257
68,-80,83,-5357
-77,12,37,-887
17,73,32,1273
2,93,-29,157
-22,-72,99,1683
29,-39,0,-1131
-44,-41,-97,1707
75,-40,9,-2991
94,55,80,5250
-90,-7,-96,534
36,-54,-88,-2032
-11,75,84,-741
70,91,74,6444
41,51,-28,2063
-25,-63,46,1621
30,4,-48,72
69,-92,-58,-6406
-36,83,-64,-3052
97,-38,-66,-3752
-83,66,-95,-5573
-28,98,72,-2672
20,3,-37,23
-72,75,48,-5352
-27,72,-92,-2036
44,1,-28,16
47,93,71,4442
75,94,-40,7010
85,-21,-26,-1811
-83,-70,-27,5783
-57,-5,71,356
-97,23,40,-2191
44,0,42,42
1,7,91,98
77,94,-82,7156
-3,51,-90,-243
-33,37,-88,-1309
91,-48,85,-4283
-70,-5,-96,254
25,-12,-82,-382
36,-57,-47,-2099
-78,98,-63,-7707
35,-98,19,-3411
-4,-60,23,263
-76,19,53,-1391
47,53,-47,2444
7,-92,3,-641
-6,65,47,-343
-91,-82,32,7494
10,-1,-92,-102
-83,-62,-13,5133
82,6,-25,467
80,0,70,70
-98,93,-28,-9142
-87,-89,-2,7741
76,12,-48,864
-65,100,-37,-6537
-46,-83,-46,3772
52,88,-24,4552
99,82,-35,8083
24,-48,49,-1103
57,-91,9,-5178
-24,-21,-63,441
61,33,18,2031
25,-71,11,-1764
36,-22,57,-735
88,62,-15,5441
26,14,-45,319
81,-70,-98,-5768
78,-5,-44,-434
-83,46,67,-3751
19,55,-24,1021
95,-3,56,-229
35,-32,99,-1021
-29,-94,88,2814
-49,-88,-97,4215
50,-34,-76,-1776
99,-47,-14,-4667
20,65,-25,1275
-45,-33,63,1548
-5,-77,73,458
89,-2,-65,-243
-40,4,82,-78
-37,96,76,-3476
26,5,-5,125
-31,-14,43,477
90,-72,72,-6408
-42,35,-48,-1518
-40,-89,-10,3550
-79,73,-54,-5821
-85,84,-47,-7187
80,-67,-53,-5413
27,-29,40,-743
-74,30,62,-2158
0,58,24,24
88,-18,53,-1531
-9,17,45,-108
-65,61,-89,-4054
58,-67,-12,-3898
32,51,-41,1591
5,86,40,470
-69,-55,92,3887
-47,-15,84,789
75,93,53,7028
15,27,21,426
-58,-36,-44,2044
-38,-78,23,2987
-81,81,-72,-6633
-50,62,30,-3070
-21,76,-96,-1692
87,56,45,4917
-69,33,-46,-2323
-52,-14,-31,697
23,6,-100,38
49,51,42,2541
0,85,69,69
89,51,2,4541
-62,59,7,-3651
81,-77,25,-6212
18,-89,37,-1565
-91,-82,-42,7420
-22,26,-66,-638
-91,-6,-53,493
52,-86,0,-4472
-9,89,-69,-870
-84,-5,-26,394
-89,60,47,-5293
-70,86,-68,-6088
23,-56,-79,-1367
-8,34,-62,-334
-10,-26,6,266
-70,27,39,-1851
-13,-87,71,1202
-97,-8,-17,759
71,-74,38,-5216
-51,22,-53,-1175
97,28,-92,2624
-99,-94,-53,9253
2,42,-73,11
51,29,-85,1394
-74,-82,-15,6053
-66,-79,-16,5198
2,59,-66,52
62,10,-78,542
15,-27,-69,-474
44,25,93,1193
41,-77,81,-3076
-57,-50,-8,2842
80,72,-3,5757
-72,-51,42,3714
24,51,-16,1208
-3,10,32,2
-10,61,77,-533
7,60,-85,335
-5,-65,72,397
-90,60,-100,-5500
-72,-13,16,952
-28,22,-94,-710
87,-29,59,-2464
-40,29,94,-1066
23,68,68,1632
-9,-89,-11,790
-7,-10,84,154
-100,-71,-65,7035
-42,-97,76,4150
-53,-4,2,214
94,-70,-51,-6631
-78,34,-63,-2715
12,-68,-90,-906
-21,17,73,-284
-86,12,-14,-1046
-55,24,91,-1229
3,86,-38,220
-72,19,23,-1345
-99,-22,7,2185
71,-31,-33,-2234
-92,-83,87,7723
23,-77,76,-1695
-12,-35,-76,344
1,-70,-93,-163
35,29,-3,1012
-34,-64,64,2240
-45,0,-41,-41
-42,57,54,-2340
95,-3,3,-282
46,64,-27,2917
88,24,-63,2049
-69,-100,89,6989
88,18,44,1628
-99,-27,-98,2575
94,-87,15,-8163
89,-25,-86,-2311
25,-23,-100,-675
-44,-10,-5,435
81,-67,66,-5361
-34,-78,24,2676
30,25,91,841
-26,-85,46,2256
44,36,-96,1488
11,88,37,1005
-67,-85,-94,5601
-40,47,-78,-1958
-74,32,99,-2269
-85,-4,-98,242
-9,11,-2,-101
1,-11,-52,-63
83,-38,49,-3105
71,14,96,1090
-78,-56,-7,4361
71,-20,-81,-1501
32,76,10,2442
-35,-14,85,575
-6,-20,-82,38
46,15,-21,669
-86,-65,-84,5506
-86,39,-42,-3396
56,30,24,1704
39,69,-58,2633
84,92,46,7774
72,-89,46,-6362
-40,58,-96,-2416
67,-55,-1,-3686
-20,56,-93,-1213
-69,-25,10,1735
26,-42,21,-1071
59,-28,-94,-1746
92,0,-31,-31
32,17,93,637
-72,56,35,-3997
39,-12,-97,-565
37,11,-43,364
49,-44,-25,-2181
-89,7,36,-587
72,-40,76,-2804
-71,-64,45,4589
80,85,-64,6736
40,17,-58,622
34,85,-72,2818
41,-26,84,-982
75,-74,-45,-5595
-48,-33,2,1586
-81,84,67,-6737
-5,79,77,-318
-8,70,-46,-606
-85,-84,60,7200
80,21,89,1769
-25,-4,-72,28
3,11,82,115
43,-55,-75,-2440
93,100,33,9333
-39,-59,56,2357
16,-81,-13,-1309
35,41,-25,1410
-74,98,-9,-7261
-25,2,48,-2
61,-64,-18,-3922
70,32,48,2288
66,66,-77,4279
80,-67,-31,-5391
81,19,-30,1509
-69,-47,75,3318
79,8,-50,582
-72,-91,31,6583
38,59,96,2338
23,62,-58,1368
-20,-50,-52,948
-74,-99,-6,7320
-29,-94,46,2772
24,-42,41,-967
-13,93,-41,-1250
-80,81,-78,-6558
-42,73,19,-3047
-91,-24,36,2220
52,-9,96,-372
-3,-21,21,84
-69,-26,57,1851
-2,-42,-12,72
-30,65,95,-1855
-54,-15,-74,736
30,-74,90,-2130
-50,60,-67,-3067
-29,-51,83,1562
-24,-44,10,1066
65,-71,-30,-4645
5,-54,98,-172
-85,58,9,-4921
96,-63,-59,-6107
100,4,-20,380
-12,86,-33,-1065
86,-9,-75,-849
9,87,-34,749
9,19,-18,153
16,81,71,1367
5,-16,-70,-150
-94,-53,77,5059
53,56,18,2986
-38,-25,4,954
81,-17,-39,-1416
99,-62,73,-6065
14,-88,96,-1136
77,70,62,5452
-3,71,57,-156
-65,50,-89,-3339
62,81,-70,4952
-58,-48,80,2864
38,-1,29,-9
